Source,Destination,City,Town,Explorer,Dahan,Action Name,Action ID,Parent,Notes,After Toplevel
🤠S7M,⚡U2S,,,,1,Travel on River’s Back (Helio),15,,,
🤠S2M,⚡U2S,,,,1,Travel on River’s Back (Helio),15,,,
⚡U2S,,,1,,,Constant Raiding,16,15,,
,⚡U2S,,,1,,Military Response,17,16,,
🤖R5M,,1,,,,Blazing Presence (Lixxi),21,,,
,🤖R2M,,1,1,,Blazing Presence Transformation and push (Lixxi),22,21,,
🌵Q4M,🌵Q3M,,,,2,Veil of the Night’s Hunt (Sorbjar),1,,,
⚡U1J,LAIRL,,,,,Beach Party Weave,2,,,
😎Q6M,😎S1M,,,,2,Vigor of the Breaking Dawn (Jedayr),18,,,
😎S1M,,1,3,1,,VotBD damage (+CR),19,18,,
,😎S1M,,1,3,,Military Response,20,19,,
⚡U2S,LAIRL,,1,,2,Beach Party Weave,3,,,
⚡U3M,LAIRL,,,,3,Beach Party Weave,4,,,
🤖Q1W,LAIRL,,4,3,1,Beach Party Weave,5,,,
🤖Q2J,LAIRL,,2,,,Beach Party Weave,6,,,
🤖Q3W,LAIRL,1,4,1,,Beach Party Weave,7,,,
🤖R1S,LAIRL,,3,,1,Beach Party Weave,8,,,
🤖R2M,LAIRL,,4,1,1,Beach Party Weave,9,,,
🤖R3J,LAIRL,,2,,,Beach Party Weave,10,,,
🤖S1W,LAIRL,3,4,7,1,Beach Party Weave,11,,,
🦋P8W,LAIRL,,,,,Beach Party Weave,12,,,
LAIRL,,,1,,,Firestorm (Lixxi),23,,,
🤖R5M,LAIRL,,1,7,,Firestorm 4th threshold (Lixxi),23,,,
,⚡U8W,,3,20,,Beach Party Cast-Down Military Repsponse,78,,,
⚡U8W,LAIRL,,3,20,,Beach Party Post-Cast-Down Escape,79,78,,
💖Q7S,LAIRL,,,,,Weave,80,,,
💖S7W,LAIRL,,,,,Weave,81,,,
😎Q5J,LAIRL,,,,1,Weave,82,,,
💖R4M,💖P4W,,2,,,Harrowing Gaze (Darkcyan),24,,,
💖P4W,💖P2W,,4,,,Sweep Into the Sea (Darkcyan),25,,,
💖P2W,,2,10,,,Sweep Into the Sea (Darkcyan),26,,threshold repeat,
,💖P3S,,2,10,,Military Response,27,26,,
💖P3S,,,2,10,,Bargains of the Coursing Paths,28,27,,
,💖P3S,,,2,,Military Response,29,28,,
💖S6W,,,2,,,Firestorm (Drakolog),30,,,
,LAIRL,,,4,,Firestorm Transformation and push (Drakolog),31,30,,
😎T2M,,,2,,,The Wounded Wilds Turns on Its Assailants (palimpsest),32,,,
,LAIRL,,,2,,Military Repsponse,33,32,,
🌵Q5J,,,,3,,Damage from Funny Bird Gaming,103,,,
🌵P5M,🌵P4W,,1,,,Manual slurp (1 gathers),104,,,lair_orange
🌵P4W,🌵Q3M,,4,7,,Manual slurp (11 gathers),105,,,lair_orange
🌵Q5J,🌵Q3M,,,7,,Manual slurp (7 gathers),106,,,lair_orange
🌵Q3M,,,4,14,,Forests of Living Obsidian (palimpsest),107,,,lair_orange
🌵Q3M,🌵Q2S,,,,2,FOLO Dahan Push,108,107,,lair_orange
🌵Q2S,,,1,,,Constant Raiding,109,108,,lair_orange
,🌵Q2S,,,4,,Military Response (🌵Q3 kills),110,107,,lair_orange
,🌵Q2S,,,1,,Military Response (🌵Q2 kills),111,109,,lair_orange
🌵Q2S,,,,12,,Forests of Living Obsidian (palimpsest),112,,,lair_orange
🌵Q2S,🌵Q1J,,,,1,FOLO Dahan Push 1,113,112,,lair_orange
🌵Q2S,🌵Q3M,,,,5,FOLO Dahan Push 2,114,112,,lair_orange
🌵Q1J,,,,1,,Constant Raiding,115,113,,lair_orange
💖P1M,💖P7J,,4,,,Manual slurp through 💖P6J 💖P5S (12 gathers),116,,,lair_orange
⚡T8S,LAIRL,,,1,,Manual slurp (4 gathers),0,,,lair_orange
🐍R2S,🐍R3M,1,2,2,,Manual slurp (5 gathers),117,,,lair_orange
🐍R3M,🐍S8J,1,3,4,,Manual slurp (8 gathers),118,,,lair_orange
🐍S7S,🐍S8J,,,1,,Manual slurp (1 gathers),119,,,lair_orange
🐍S3J,🐍S2W,,1,,,Manual slurp (1 gathers),120,,,lair_orange
🐍S2W,🐍S1M,1,1,2,,Manual slurp (4 gathers),121,,,lair_orange
🐍S8J,🏝️P6M,1,3,5,,Manual slurp (9 gathers),122,,,lair_orange
🐍S1M,🏝️P6M,1,1,2,,Manual slurp (4 gathers),123,,,lair_orange
🏝️P6M,LAIRL,2,4,7,,End of slurp – Bargains of Coursing Paths,124,,,lair_orange
