Land,City,Town,Explorer,Dahan
🐑P1,,,,5
🐑P2,,1,1,
🐑P3,,2,,
🐑P4,,,1,
🐑P5,,5,,
🐑P6,,1,2,2
🐑P7,,2,1,
🐑P8,,,,
🐑Q1,2,3,1,
🐑Q2,,4,1,1
🐑Q3,1,2,1,3
🐑Q4,,,,
🐑Q5,,1,2,
🐑Q6,1,2,2,
🐑Q7,,,,2
🐑Q8,,,,
🐑R1,,2,,
🐑R2,,,,1
🐑R3,,2,,
🐑R4,,,1,
🐑R5,,,1,
🐑R6,,,,
🐑R8,,,1,
🐑S1,2,2,2,4
🐑S2,3,4,,1
🐑S3,,1,,2
🐑S4,,,1,
🐑S5,,,,
🐑S6,,1,1,
🐑S7,,1,1,1
🐑S8,,1,,2
🐑T1,,,,3
🐑T2,2,3,,
🐑T3,,2,,1
🐑T4,,,,
🐑T5,,,3,
🐑T6,,2,1,
🐑T7,,,,
🐑T8,1,,1,
🐑U1,,,,
🐑U2,,2,4,4
🐑U3,,1,1,
🐑U4,,,,
🐑U5,,1,1,1
🐑U6,,,1,
🐑U7,,,,2
🐑U8,1,4,1,
🧀P1,,1,,1
🧀P2,,,,
🧀P3,,,,
🧀P4,,,,
🧀P5,,,,
🧀P6,,,,1
🧀P7,,,,
🧀P8,,,,3
🧀Q1,,,,
🧀Q2,,4,3,4
🧀Q3,,,1,1
🧀Q4,,1,,
🧀Q5,1,1,2,
🧀Q6,,,,
🧀Q7,1,1,4,
🧀Q8,,1,1,3
🧀R1,,,,1
🧀R2,,,,2
🧀R3,,2,1,2
🧀R4,,,,
🧀R5,,,,1
🧀R6,,1,,
🧀R7,,,,
🧀R8,,,,1
🧀S1,1,3,,1
🧀S2,1,2,,
🧀S3,1,,,1
🧀S4,,1,1,2
🧀S5,,,,
🧀S6,,1,2,1
🧀S7,,1,,3
🧀S8,2,2,5,
🧀T1,,1,,1
🧀T2,1,4,4,3
🧀T3,,,,
🧀T4,,,,1
🧀T5,,,,
🧀T6,,,,
🧀T7,1,2,3,
🧀T8,,,2,2
🧀U1,1,5,4,3
🧀U2,2,2,,
🧀U3,1,2,2,
🧀U4,1,3,,
🧀U5,,1,1,1
🧀U6,,,,
🧀U7,1,2,2,
🧀U8,,,,1
🐍P1,1,1,1,4
🐍P2,1,3,1,1
🐍P3,,1,,
🐍P4,,,,
🐍P5,1,3,5,
🐍P6,,,,
🐍P7,,1,1,2
🐍P8,1,3,3,
🐍Q1,1,1,5,3
🐍Q2,,1,,1
🐍Q3,,,,1
🐍Q4,,,1,
🐍Q5,,,1,
🐍Q6,,,,
🐍Q7,,,,
🐍Q8,,,,2
🐍R1,,,,
🐍R2,1,1,,2
🐍R3,,2,,3
🐍R4,,,1,
🐍R5,,1,2,
🐍R6,,,4,1
🐍R7,2,3,2,
🐍R8,,1,1,
🐍S1,,2,2,
🐍S2,,1,,1
🐍S3,1,1,,2
🐍S4,,,,
🐍S5,,,,
🐍S6,,,1,
🐍S7,,,,2
🐍S8,,,,
🐍T1,,,,
🐍T2,,,5,4
🐍T3,,,,1
🐍T4,,2,,
🐍T5,,,,
🐍T6,,,2,2
🐍T7,,,,
🐍T8,,,,
🐍U1,,,1,2
🐍U2,,,7,3
🐍U3,,,,
🐍U4,,,,
🐍U5,,,,
🐍U6,,,,
🐍U7,,,,1
🐍U8,,,,
🍌P1,,,,
🍌P2,,,,
🍌P3,,,1,2
🍌P4,,,,
🍌P5,,,,
🍌P6,,,,
🍌P7,,,1,4
🍌P8,,1,1,
🍌Q1,,2,1,
🍌Q2,,,2,2
🍌Q3,,1,1,1
