Land,City,Town,Explorer,Dahan
😎R4,,,,
😎P7,1,1,1,
😎P4,,1,,1
😎Q7,,,,
😎Q8,,1,,
😎R2,1,,,
😎R3,1,1,1,2
😎R5,,,,3
😎R7,2,3,2,
😎P1,,,,1
😎P2,1,2,2,
😎P3,,,,3
😎P5,,,,
😎P6,,2,1,
😎P8,,1,,1
😎Q4,1,2,2,
😎Q5,,1,2,1
😎Q6,1,1,2,2
😎R1,1,1,,
😎R6,,,,1
😎R8,,,1,
😎S1,1,1,1,2
🇲🇺R5,,4,1,
🇲🇺R1,1,5,,
🇲🇺R4,,4,,
🇲🇺R6,1,5,2,1
🇲🇺R7,,4,,2
🇲🇺R8,1,5,1,
🇲🇺S4,,2,,
🇲🇺S7,,2,,
🇲🇺Q3,1,4,1,
🇲🇺Q4,,3,1,1
🇲🇺R2,2,5,1,
🇲🇺R3,2,5,,
🇲🇺S2,2,2,,
🇲🇺S3,1,5,1,1
🇲🇺S5,,5,1,
🇲🇺S6,,,,
🇲🇺S8,,5,1,
🇲🇺T6,,4,,1
🇲🇺T8,,4,1,
🍪Q5,,5,5,1
🍪Q1,,4,,1
🍪Q2,2,5,,
🍪Q4,,,,
🍪Q6,1,4,2,3
🍪Q8,,4,,
🍪Q3,,4,,1
🍪Q7,,4,1,
🍪R6,,3,1,
🍪R8,,3,,
🍪R4,,3,,3
🍪R7,1,5,,
🍪S3,,1,1,1
🍪S5,,3,,
🍪S7,,5,1,
🍪T6,,2,,2
🍪T8,,3,,
🍪R1,,4,,1
🍪R2,3,5,1,
🍪R3,,4,,2
🍪R5,,4,1,
🍪S2,2,4,,
🍪S6,,4,1,2
🍪S8,,4,,2
🍪T1,1,5,1,
🍪T5,,4,2,
🍪T7,,4,,
💖S7,,1,1,
💖S4,1,2,1,
💖S5,,2,1,
💖S6,,,,2
💖S8,,1,1,3
💖T3,,,,1
💖T4,1,2,2,
💖T7,,,,
💖Q1,1,2,,
💖Q6,1,1,2,
💖S1,1,1,,
💖S2,1,,,
💖S3,1,2,1,
💖T2,1,2,,
💖T5,,2,1,
💖T8,,1,,
💖U3,,,,2
💖U4,,2,1,
💖U7,1,1,1,5
⚡S8,,2,1,
⚡Q1,1,2,,
⚡S4,1,2,2,
⚡S5,,,,
⚡S6,,,,
⚡S7,,,,
⚡T3,1,1,1,1
⚡T4,1,2,2,2
⚡Q2,1,1,,1
⚡Q4,,,,
⚡Q5,,,1,
⚡Q6,1,1,3,
⚡Q8,,1,,1
⚡S1,,4,3,2
⚡S2,,1,,1
⚡S3,,,,1
⚡T2,1,,,
⚡T5,,2,1,
⚡T7,,1,1,
⚡U4,,,,
⚡U7,2,3,2,
⚡U8,,,1,
